央视 CCTV_,#genre#
Now Sports 7,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/ff831dda2b00045cf189a897a361ca6b/master.m3u8
Now Sports  英超,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/14e6c10ed05c471b1e97b02a93f1d106/master.m3u8
台湾 Taiwan_,#genre#
民视台湾台,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/cd253b8647c094683eaf22d5e615a52c/master.m3u8
民视综艺台,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/b8e2e9f069781b566cf996b65b7d23c1/master.m3u8
民视影剧台,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/06d9eb45af481c53330ecb20f5cabe6e/master.m3u8
民视新闻台,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/4df8b0c41f0da56f676b2684b52a5480/master.m3u8
中视经典,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/e2837270f3d2921efdb14e7fd829d101/master.m3u8
中视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/d802e34857bc3d70332f3943b40187d4/master.m3u8
台视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/d181f395c08762c19595c36cd5e09e2f/master.m3u8
公视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/bebf62b8f36e15e5e06b473af9c5ec11/master.m3u8
民视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/9821d7dcc39c147e2f0045cc4e738da3/master.m3u8
华视,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/d392344d671b30ab189c476f3b624657/master.m3u8
公视台语,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/678df3aa2e55ddd635861f8dd122aab9/master.m3u8
龙华动画,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/6315e6a4ab9277b61c1aa0a489343950/master.m3u8
龙华电影,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/3169ea33994439bc12897805855bc9c7/master.m3u8
龙华影剧,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/403dad69037655b3447a2fe8d57f4618/master.m3u8
龙华戏剧,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/5278c687d0e3b339c4c7fbe918a03815/master.m3u8
龙华偶像,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/aaa7ff9ae18318109a88b0bc276fb7ee/master.m3u8
龙华洋片,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/b38a31f277abf41c1b851725876391a4/master.m3u8
博斯网球,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/a946262f18af2efe65dccf7736230eda/master.m3u8
博斯无限,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/c8379752b30b5c9634b92cf94b0b76ee/master.m3u8
博斯运动 2,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/50a12156b2ad4f7d3af2141996ae9f01/master.m3u8
博斯运动 1,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/5239aa671b96a7be19e46cc1ba21cc9d/master.m3u8
博斯魅力,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/64ea4d7e310e64b007e0607de07a324c/master.m3u8
eye旅游,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/00621226ded31acd1367945fb27f1054/master.m3u8
eye戏剧,http://172.247.189.85:16000/stream/9d0db172ab506a9ebdfd7000bb803fadb245ed9cc45f0801-b5004d4ef119d20dd08a90e9190c48b6/b5174ce39afdeaa18c87898df4b48598/master.m3u8
